x,y
5.074459420246666355e+02,-4.475084905384127509e+00
5.074543225653404193e+02,-4.474953591173636447e+00
5.074627031157808119e+02,-4.474822914964892817e+00
5.074710836759845165e+02,-4.474692874016216848e+00
5.074794642459486909e+02,-4.474563465585477573e+00
5.074878448256611705e+02,-4.474434686946215045e+00
5.074962254150420904e+02,-4.474306535483322023e+00
5.075046060139825386e+02,-4.474179008629901588e+00
5.075129866223736030e+02,-4.474052103819255777e+00
5.075213672401088729e+02,-4.473925818487493267e+00
5.075297478671030262e+02,-4.473800150090842642e+00
5.075381285032792675e+02,-4.473675096094289927e+00
5.075465091485610287e+02,-4.473550653962854007e+00
5.075548898028712870e+02,-4.473426821167264755e+00
5.075632704661300636e+02,-4.473303595220790463e+00
5.075716511382560157e+02,-4.473180973655895620e+00
5.075800318191678571e+02,-4.473058954005133536e+00
5.075884125087846428e+02,-4.472937533805352750e+00
5.075967932070284974e+02,-4.472816710627906645e+00
5.076051739138231369e+02,-4.472696482060785073e+00
5.076135546290922775e+02,-4.472576845692087133e+00
5.076219353527596923e+02,-4.472457799113707999e+00
5.076303160847507456e+02,-4.472339339951814985e+00
5.076386968249912002e+02,-4.472221465850734212e+00
5.076470775734072731e+02,-4.472104174454957004e+00
5.076554583299247838e+02,-4.471987463411983832e+00
5.076638390944718253e+02,-4.471871330400994715e+00
5.076722198669769455e+02,-4.471755773120130506e+00
5.076806006473691468e+02,-4.471640789267791405e+00
5.076889814355772614e+02,-4.471526376544655790e+00
5.076973622315317698e+02,-4.471412532680739460e+00
5.077057430351639482e+02,-4.471299255426425923e+00
5.077141238464053004e+02,-4.471186542532506358e+00
5.077225046651871025e+02,-4.471074391751368005e+00
5.077308854914422795e+02,-4.470962800861942199e+00
5.077392663251045519e+02,-4.470851767665063647e+00
5.077476471661079813e+02,-4.470741289962225196e+00
5.077560280143864020e+02,-4.470631365555926884e+00
5.077644088698748988e+02,-4.470521992272144196e+00
5.077727897325098070e+02,-4.470413167960460399e+00
5.077811706022272915e+02,-4.470304890471495263e+00
5.077895514789638014e+02,-4.470197157656427223e+00
5.077979323626564678e+02,-4.470089967386546626e+00
5.078063132532439568e+02,-4.469983317558462232e+00
5.078146941506648204e+02,-4.469877206070393072e+00
5.078230750548575543e+02,-4.469771630820801533e+00
5.078314559657617338e+02,-4.469666589724724304e+00
5.078398368833178438e+02,-4.469562080724049480e+00
5.078482178074668809e+02,-4.469458101763126301e+00
5.078565987381495574e+02,-4.469354650786371508e+00
5.078649796753073815e+02,-4.469251725751168358e+00
5.078733606188829413e+02,-4.469149324642915033e+00
5.078817415688193933e+02,-4.469047445450666345e+00
5.078901225250594962e+02,-4.468946086163481546e+00
5.078985034875466340e+02,-4.468845244779925174e+00
5.079068844562256686e+02,-4.468744919327064302e+00
5.079152654310414619e+02,-4.468645107837287966e+00
5.079236464119390462e+02,-4.468545808342986092e+00
5.079320273988636245e+02,-4.468447018882995891e+00
5.079404083917618209e+02,-4.468348737524129533e+00
5.079487893905806573e+02,-4.468250962340793109e+00
5.079571703952669282e+02,-4.468153691407388273e+00
5.079655514057678261e+02,-4.468056922802336572e+00
5.079739324220317371e+02,-4.467960654630255490e+00
5.079823134440074455e+02,-4.467864885006256337e+00
5.079906944716436783e+02,-4.467769612045482397e+00
5.079990755048895608e+02,-4.467674833865305395e+00
5.080074565436949001e+02,-4.467580548606365554e+00
5.080158375880105268e+02,-4.467486754423124040e+00
5.080242186377869871e+02,-4.467393449470228539e+00
5.080325996929748840e+02,-4.467300631903365904e+00
5.080409807535259006e+02,-4.467208299897659884e+00
5.080493618193924021e+02,-4.467116451645477326e+00
5.080577428905266970e+02,-4.467025085339779267e+00
5.080661239668813209e+02,-4.466934199173881126e+00
5.080745050484092644e+02,-4.466843791356170712e+00
5.080828861350645411e+02,-4.466753860115344033e+00
5.080912672268012784e+02,-4.466664403681525286e+00
5.080996483235734331e+02,-4.466575420284901732e+00
5.081080294253356442e+02,-4.466486908166261927e+00
5.081164105320434032e+02,-4.466398865588904421e+00
5.081247916436524861e+02,-4.466311290819011681e+00
5.081331727601184980e+02,-4.466224182122761732e+00
5.081415538813975559e+02,-4.466137537772901567e+00
